Preu,Zona,Superficie,Habitacions,Lavabos,Preu metre,Calefaccio,Aire acondicionat,Any construccio,Aparcament,Piscina,Ascensor,Planta,Consum,Venda/lloguer,Preu anunci,Preu pred,Status
225000,Centre,110.0,4.0,2.0,2045.0,1,0,1973.0,1,No,1,5.0,C,Venda,225000,227462,xollo
176000,Sant Pere Nord,92.0,3.0,2.0,1913.0,1,0,2022.0,1,No,1,3.0,G,Venda,176000,262636,xollo
119500,Sant Pere Nord,82.0,3.0,1.0,1457.0,1,0,1970.0,0,No,1,2.0,E,Venda,119500,154078,xollo
149000,Sant Pere,90.0,3.0,1.0,1656.0,1,1,1975.0,0,No,1,1.0,D,Venda,149000,154078,xollo
249000,Ca n�Aurell,164.0,5.0,2.0,1518.0,1,0,1942.0,0,No,0,1.0,D,Venda,249000,270525,xollo
133000,Can Jofresa,79.0,2.0,1.0,1684.0,1,1,2006.0,0,No,1,3.0,G,Venda,133000,154078,xollo
180000,Les Arenes-La Gr�pia,109.0,3.0,2.0,1651.0,1,1,1997.0,1,No,1,1.0,G,Venda,180000,227462,xollo
137000,Can Boada,95.0,3.0,1.0,1442.0,1,0,1973.0,0,No,0,1.0,G,Venda,137000,154078,xollo
127500,Ca n�Anglada,49.0,2.0,1.0,2602.0,1,0,2007.0,0,No,1,1.0,G,Venda,127500,131812,xollo
192000,Sant Pere Nord,116.0,3.0,2.0,1655.0,1,1,1971.0,0,No,0,2.0,G,Venda,192000,270525,xollo
126000,Can Palet,84.0,3.0,1.0,1500.0,1,0,1975.0,0,No,1,1.0,G,Venda,126000,154078,xollo
85000,La Maurina,101.0,4.0,1.0,842.0,0,0,1965.0,0,No,0,2.0,G,Venda,85000,136656,xollo
95000,Can Palet,76.0,3.0,1.0,1250.0,1,0,1971.0,0,No,0,2.0,E,Venda,95000,103259,xollo
118500,La Maurina,100.0,3.0,1.0,1185.0,0,0,1973.0,0,No,0,3.0,G,Venda,118500,136656,xollo
125000,Can Palet,108.0,3.0,1.0,1157.0,1,1,1963.0,0,No,0,2.0,G,Venda,125000,154078,xollo
69000,Montserrat,58.0,2.0,1.0,1190.0,0,0,1959.0,0,No,0,1.0,G,Venda,69000,103259,xollo
255000,Escoles,144.0,4.0,2.0,1771.0,1,1,1992.0,1,No,1,1.0,G,Venda,255000,270525,xollo
137500,Torre-sana,69.0,1.0,2.0,1993.0,1,1,2003.0,0,No,1,2.0,G,Venda,137500,192063,xollo
295000,Poblenou-Zona Esportiva,160.0,3.0,2.0,1844.0,1,1,2022.0,0,No,0,2.0,G,Venda,295000,370425,xollo
265000,Les Arenes-La Gr�pia,148.0,3.0,2.0,1791.0,1,1,1991.0,0,No,1,3.0,G,Venda,265000,270525,xollo
260000,Torre-sana,156.0,3.0,2.0,1667.0,1,1,1968.0,1,No,0,1.0,G,Venda,260000,270525,xollo
155000,Ca n�Aurell,80.0,2.0,2.0,1938.0,1,1,1972.0,0,No,1,2.0,D,Venda,155000,166660,xollo
219000,Centre,73.0,2.0,2.0,3000.0,1,1,2005.0,1,No,1,4.0,E,Venda,219000,227462,xollo
236900,Can Boada,150.0,3.0,2.0,1579.0,1,0,1960.0,0,No,0,3.0,D,Venda,236900,270525,xollo
98000,Segle XX,76.0,3.0,1.0,1289.0,0,0,1953.0,0,No,0,2.0,G,Venda,98000,103259,xollo
264900,Vallparad�s,160.0,4.0,2.0,1656.0,1,1,1988.0,0,No,1,2.0,E,Venda,264900,270525,xollo
215000,Egara,225.0,3.0,2.0,956.0,1,1,1961.0,0,No,0,1.0,D,Venda,215000,270525,xollo
186000,Pere parres,97.0,3.0,2.0,1918.0,1,0,2007.0,0,No,1,1.0,G,Venda,186000,192063,xollo
159900,Can Palet,99.0,4.0,2.0,1615.0,1,1,1981.0,0,No,0,3.0,E,Venda,159900,192063,xollo
254900,X�quer,188.0,5.0,3.0,1356.0,1,1,2001.0,1,No,1,3.0,G,Venda,254900,350862,xollo
260000,X�quer,196.0,5.0,2.0,1327.0,1,0,2000.0,1,No,1,3.0,D,Venda,260000,270525,xollo
136000,Cementiri Vell,94.0,3.0,1.0,1447.0,1,0,1970.0,0,No,1,1.0,E,Venda,136000,154078,xollo
220000,Cementiri Vell,116.0,4.0,2.0,1897.0,1,1,1979.0,1,No,1,3.0,G,Venda,220000,270525,xollo
385000,Centre,210.0,5.0,3.0,1833.0,1,1,1967.0,1,No,1,5.0,G,Venda,385000,427666,xollo
269000,Centre,125.0,3.0,2.0,2152.0,1,1,2001.0,1,No,1,2.0,G,Venda,269000,270525,xollo
210000,Cementiri Vell,131.0,4.0,2.0,1603.0,1,1,1972.0,0,No,1,5.0,G,Venda,210000,270525,xollo
150000,Les Arenes-La Gr�pia,65.0,2.0,1.0,2308.0,0,0,1994.0,1,No,1,2.0,G,Venda,150000,157664,xollo
125000,Can Boada,93.0,4.0,2.0,1344.0,1,0,1979.0,0,No,1,2.0,E,Venda,125000,192063,xollo
176000,Pere parres,88.0,3.0,2.0,2000.0,1,0,2007.0,0,No,1,2.0,G,Venda,176000,192063,xollo
122500,Sant Pere Nord,45.0,1.0,1.0,2722.0,1,0,2005.0,0,No,1,1.0,E,Venda,122500,131812,xollo
80000,Ca nﾴAnglada,74.0,3.0,1.0,1081.0,0,0,1971.0,0,No,0,2.0,G,Venda,80000,103259,xollo
135000,Sant Pere,89.0,3.0,1.0,1517.0,1,1,1973.0,0,No,0,2.0,E,Venda,135000,154078,xollo
85000,Ca n�Anglada,71.0,3.0,1.0,1197.0,1,1,1968.0,0,No,1,2.0,E,Venda,85000,131812,xollo
227000,Pere parres,155.0,4.0,2.0,1465.0,1,1,1978.0,0,No,1,3.0,G,Venda,227000,270525,xollo
140000,Ca n�Anglada,75.0,2.0,1.0,1867.0,1,1,2008.0,1,No,1,5.0,E,Venda,140000,161000,xollo
239900,Sant Pere Nord,220.0,4.0,2.0,1090.0,1,0,1991.0,0,No,0,2.0,G,Venda,239900,270525,xollo
225000,La Maurina,183.0,4.0,2.0,1230.0,1,1,1975.0,0,No,0,1.0,D,Venda,225000,270525,xollo
270000,Segle XX,133.0,4.0,2.0,2030.0,1,1,1983.0,0,No,0,1.0,E,Venda,270000,270525,xollo
147000,Can Jofresa,110.0,4.0,2.0,1336.0,0,0,1975.0,0,No,1,9.0,E,Venda,147000,166660,xollo
155000,Poblenou-Zona Esportiva,120.0,3.0,1.0,1292.0,1,0,1980.0,0,No,0,2.0,G,Venda,155000,270525,xollo
147000,Can Boada,93.0,4.0,2.0,1581.0,1,0,1979.0,0,No,1,3.0,G,Venda,147000,192063,xollo
149000,Les Arenes-La Gr�pia,60.0,2.0,1.0,2483.0,1,1,2006.0,1,No,1,1.0,E,Venda,149000,157664,xollo
296700,Can Roca,126.0,3.0,2.0,2355.0,1,1,2019.0,0,No,1,2.0,G,Venda,296700,370425,xollo
137000,Sant Pere Nord,96.0,4.0,1.0,1427.0,1,1,1958.0,0,No,0,4.0,F,Venda,137000,154078,xollo
120000,Sant Pere Nord,94.0,3.0,1.0,1277.0,0,0,1960.0,0,No,0,1.0,E,Venda,120000,136656,xollo
87000,Ca n�Anglada,71.0,3.0,1.0,1225.0,1,1,1969.0,0,No,0,3.0,G,Venda,87000,103259,xollo
140000,Can Palet,86.0,3.0,1.0,1628.0,1,1,1975.0,0,No,1,1.0,E,Venda,140000,154078,xollo
150000,Can Palet,90.0,3.0,1.0,1667.0,1,0,1972.0,0,No,1,4.0,G,Venda,150000,154078,xollo
187000,Vallparad�s,105.0,4.0,2.0,1781.0,0,0,1980.0,0,No,1,2.0,E,Venda,187000,192063,xollo
270000,Centre,122.0,4.0,2.0,2213.0,1,1,1988.0,0,No,1,1.0,G,Venda,270000,270525,xollo
320000,Sant Pere Nord,190.0,3.0,3.0,1684.0,1,1,2022.0,1,No,0,2.0,G,Venda,320000,350862,xollo
141000,Ca n�Anglada,111.0,1.0,2.0,1270.0,1,0,2008.0,0,No,1,3.0,D,Venda,141000,192063,xollo
245000,Les Arenes-La Gr�pia,131.0,3.0,2.0,1870.0,1,1,1991.0,0,No,1,3.0,E,Venda,245000,270525,xollo
257000,Can Palet,139.0,4.0,2.0,1849.0,1,1,2000.0,1,No,1,3.0,E,Venda,257000,270525,xollo
449000,Escoles,368.0,3.0,1.0,1220.0,1,1,1978.0,1,No,0,3.0,E,Venda,449000,471528,xollo
207000,Sant Pere Nord,82.0,3.0,2.0,2524.0,1,1,2021.0,1,No,1,1.0,G,Venda,207000,227462,xollo
183960,Can Palet,87.0,3.0,2.0,2114.0,0,0,2007.0,0,No,1,3.0,G,Venda,183960,192063,xollo
115000,X�quer,80.0,4.0,1.0,1438.0,1,1,1974.0,0,No,1,2.0,G,Venda,115000,154078,xollo
212800,Cementiri Vell,92.0,3.0,2.0,2313.0,1,0,1994.0,1,No,1,2.0,E,Venda,212800,227462,xollo
119900,Sant Pere Nord,94.0,3.0,1.0,1276.0,0,0,1960.0,0,No,0,1.0,E,Venda,119900,136656,xollo
80300,Sant Lloren�,61.0,3.0,1.0,1316.0,1,0,1960.0,0,No,0,2.0,G,Venda,80300,103259,xollo
263000,Can Boada,118.0,3.0,2.0,2229.0,1,1,1995.0,0,No,1,1.0,G,Venda,263000,270525,xollo
257000,Centre,129.0,5.0,2.0,1992.0,1,0,1975.0,1,No,1,1.0,F,Venda,257000,270525,xollo
112000,Can Boada,73.0,3.0,1.0,1534.0,1,1,1971.0,0,No,1,4.0,E,Venda,112000,131812,xollo
184000,Can Palet,116.0,5.0,2.0,1586.0,1,1,1975.0,0,No,1,1.0,G,Venda,184000,270525,xollo
136000,Cementiri Vell,79.0,3.0,1.0,1722.0,1,1,1970.0,0,No,1,1.0,E,Venda,136000,154078,xollo
225000,La Maurina,183.0,4.0,2.0,1230.0,1,1,1975.0,0,No,0,1.0,D,Venda,225000,270525,xollo
110000,La Maurina,71.0,2.0,1.0,1549.0,1,1,1966.0,0,No,1,5.0,D,Venda,110000,131812,xollo
225000,Centre,100.0,4.0,2.0,2250.0,1,1,1973.0,1,No,1,6.0,C,Venda,225000,227462,xollo
93500,Poblenou-Zona Esportiva,65.0,4.0,1.0,1438.0,1,0,1977.0,0,No,0,3.0,G,Venda,93500,103259,xollo
249900,Les Arenes-La Gr�pia,131.0,3.0,2.0,1908.0,1,1,1991.0,0,No,1,3.0,E,Venda,249900,270525,xollo
155000,Can Palet,99.0,4.0,2.0,1566.0,1,1,1992.0,0,No,1,1.0,G,Venda,155000,192063,xollo
245000,La Cogullada,99.0,3.0,2.0,2475.0,1,1,2021.0,0,No,1,2.0,A,Venda,245000,259750,xollo
359700,Sant Lloren�,378.0,4.0,2.0,952.0,1,1,1958.0,0,No,0,3.0,E,Venda,359700,471528,xollo
155000,Can Palet,90.0,4.0,2.0,1722.0,1,1,1992.0,0,No,1,1.0,E,Venda,155000,192063,xollo
186000,Pere parres,87.0,3.0,2.0,2138.0,1,0,2007.0,0,No,1,1.0,G,Venda,186000,192063,xollo
179900,Sant Pere Nord,88.0,3.0,2.0,2044.0,1,1,1999.0,0,No,1,2.0,G,Venda,179900,192063,xollo
130000,Can Palet,50.0,2.0,1.0,2600.0,1,1,2008.0,0,No,1,2.0,G,Venda,130000,131812,xollo
225600,La Cogullada,82.0,3.0,2.0,2751.0,1,1,2021.0,1,No,1,3.0,G,Venda,225600,227462,xollo
110000,Can Palet,64.0,3.0,1.0,1719.0,1,0,1966.0,0,No,1,3.0,G,Venda,110000,131812,xollo
82000,Ca n�Anglada,68.0,2.0,1.0,1206.0,1,1,1962.0,0,No,0,2.0,E,Venda,82000,103259,xollo
74000,Can Palet,60.0,2.0,1.0,1233.0,0,0,1968.0,0,No,0,3.0,G,Venda,74000,103259,xollo
179900,Sant Pere Nord,97.0,3.0,2.0,1855.0,1,1,1993.0,0,No,1,2.0,G,Venda,179900,192063,xollo
150000,Vallparad�s,90.0,4.0,2.0,1667.0,0,0,1971.0,0,No,1,6.0,G,Venda,150000,166660,xollo
330000,Sant Pere Nord,201.0,3.0,4.0,1642.0,1,1,2022.0,1,No,0,2.0,G,Venda,330000,350862,xollo
330000,Sant Pere Nord,193.0,3.0,4.0,1710.0,1,1,2022.0,1,No,0,2.0,G,Venda,330000,350862,xollo
330000,Sant Pere Nord,191.0,3.0,4.0,1728.0,1,1,2022.0,1,No,0,2.0,G,Venda,330000,350862,xollo
260000,Centre,123.0,3.0,2.0,2114.0,1,1,1995.0,0,No,1,2.0,G,Venda,260000,270525,xollo
197000,Poblenou-Zona Esportiva,86.0,2.0,2.0,2291.0,1,0,2002.0,1,No,1,2.0,G,Venda,197000,227462,xollo
175900,Ca n�Aurell,78.0,3.0,2.0,2255.0,1,0,2004.0,0,No,1,2.0,D,Venda,175900,192063,xollo
158000,Can Palet,99.0,4.0,2.0,1596.0,1,1,1992.0,0,No,1,1.0,G,Venda,158000,192063,xollo
189000,Torre-sana,118.0,3.0,1.0,1602.0,1,0,2002.0,1,No,1,2.0,G,Venda,189000,270525,xollo
150000,Ca n�Aurell,86.0,3.0,1.0,1744.0,1,1,1970.0,0,No,0,2.0,G,Venda,150000,154078,xollo
139000,Can Boada,90.0,4.0,2.0,1544.0,1,0,1986.0,0,No,1,3.0,G,Venda,139000,192063,xollo
119900,Can Palet,77.0,3.0,1.0,1557.0,0,0,1968.0,0,No,1,2.0,G,Venda,119900,131812,xollo
180000,Centre,135.0,2.0,2.0,1333.0,0,1,2004.0,1,No,1,3.0,G,Venda,180000,183437,xollo
242000,Torre-sana,170.0,3.0,2.0,1424.0,1,0,2005.0,1,No,1,1.0,E,Venda,242000,270525,xollo
194000,Can Roca,90.0,3.0,2.0,2156.0,1,1,2006.0,1,No,1,3.0,D,Venda,194000,227462,xollo
125000,Can Palet,77.0,3.0,1.0,1623.0,0,0,1977.0,0,No,1,2.0,D,Venda,125000,131812,xollo
105000,La Maurina,114.0,3.0,1.0,921.0,0,0,1975.0,0,No,0,3.0,E,Venda,105000,136656,xollo
224900,Cementiri Vell,60.0,2.0,1.0,3748.0,0,0,2007.0,1,No,1,1.0,C,Venda,224900,226328,xollo
176800,La Cogullada,88.0,3.0,2.0,2009.0,1,1,1999.0,0,No,1,4.0,E,Venda,176800,192063,xollo
235000,Escoles,139.0,4.0,1.0,1691.0,1,1,2000.0,0,No,1,4.0,E,Venda,235000,270525,xollo
191000,Sant Pere Nord,82.0,3.0,2.0,2329.0,1,1,2021.0,1,No,1,1.0,G,Venda,191000,227462,xollo
183860,Can Palet,87.0,3.0,2.0,2113.0,0,0,2007.0,0,No,1,3.0,D,Venda,183860,192063,xollo
137200,Pl� del Bonaire,65.0,3.0,1.0,2111.0,1,0,1985.0,1,No,1,4.0,G,Venda,137200,157664,xollo
137200,Pl� del Bonaire,65.0,3.0,1.0,2111.0,1,0,1985.0,1,No,1,4.0,G,Venda,137200,157664,xollo
249000,Poblenou-Zona Esportiva,135.0,3.0,2.0,1844.0,1,1,2000.0,1,No,1,2.0,G,Venda,249000,270525,xollo
135000,Can Palet,90.0,4.0,1.0,1500.0,1,0,1970.0,0,No,0,2.0,G,Venda,135000,154078,xollo
103000,Can Palet,78.0,3.0,1.0,1321.0,1,0,1968.0,0,No,1,4.0,F,Venda,103000,154078,xollo
189000,Cementiri Vell,96.0,3.0,1.0,1969.0,1,0,2006.0,1,No,1,1.0,E,Venda,189000,212000,xollo
164900,Sant Pere Nord,108.0,3.0,2.0,1527.0,1,0,2002.0,0,No,1,3.0,G,Venda,164900,192063,xollo
118000,Ca n�Aurell,53.0,1.0,1.0,2226.0,1,0,2005.0,0,No,1,2.0,G,Venda,118000,131812,xollo
179900,La Cogullada,222.0,5.0,3.0,810.0,0,0,1940.0,0,No,0,1.0,E,Venda,179900,184450,xollo
156000,Sant Pere Nord,70.0,3.0,2.0,2229.0,1,0,2008.0,0,No,1,2.0,G,Venda,156000,192063,xollo
399000,Can Palet de Vista Alegre,570.0,6.0,3.0,700.0,1,0,2001.0,1,Si,0,1.0,G,Venda,399000,639750,xollo
420000,Centre,251.0,7.0,3.0,1673.0,1,0,1968.0,0,No,1,2.0,E,Venda,420000,427666,xollo
173250,Montserrat,75.0,2.0,2.0,2310.0,1,0,2002.0,0,No,1,3.0,G,Venda,173250,192063,xollo
197000,La Maurina,120.0,3.0,2.0,1642.0,1,0,1955.0,0,No,0,2.0,D,Venda,197000,270525,xollo
211000,Sant Pere Nord,92.0,3.0,1.0,2293.0,1,0,1988.0,1,No,1,1.0,G,Venda,211000,212000,xollo
188000,Cementiri Vell,90.0,3.0,2.0,2089.0,1,0,1994.0,0,No,1,2.0,E,Venda,188000,192063,xollo
180000,Poblenou-Zona Esportiva,129.0,4.0,2.0,1395.0,1,0,1984.0,0,No,0,2.0,F,Venda,180000,270525,xollo
130000,Cementiri Vell,65.0,3.0,1.0,2000.0,0,0,1970.0,0,No,1,1.0,E,Venda,130000,131812,xollo
129000,Sant Pere Nord,79.0,3.0,1.0,1633.0,1,1,1965.0,0,No,0,2.0,G,Venda,129000,154078,xollo
228000,Ca nﾴAurell,150.0,4.0,2.0,1520.0,0,0,1979.0,0,No,0,1.0,C,Venda,228000,270525,xollo
169900,Torre-sana,109.0,2.0,2.0,1559.0,1,0,2006.0,1,No,1,2.0,G,Venda,169900,227462,xollo
124000,Poblenou-Zona Esportiva,107.0,4.0,1.0,1159.0,0,0,1964.0,0,No,0,1.0,G,Venda,124000,136656,xollo
155000,Can Palet,99.0,4.0,2.0,1566.0,1,1,1992.0,1,No,1,1.0,F,Venda,155000,227462,xollo
132000,Poblenou-Zona Esportiva,130.0,4.0,1.0,1015.0,1,0,1954.0,0,No,0,1.0,G,Venda,132000,270525,xollo
195000,Ca n�Aurell,90.0,2.0,2.0,2167.0,1,1,2004.0,1,No,1,3.0,E,Venda,195000,227462,xollo
120000,La Maurina,70.0,3.0,1.0,1714.0,1,0,1965.0,1,No,0,1.0,E,Venda,120000,157664,xollo
89500,La Maurina,83.0,3.0,1.0,1078.0,1,0,1960.0,0,No,1,3.0,G,Venda,89500,154078,xollo
112260,Ca n�Anglada,58.0,2.0,1.0,1936.0,1,0,2008.0,0,No,1,1.0,E,Venda,112260,131812,xollo
239000,Ca n�Aurell,79.0,3.0,2.0,3025.0,1,1,2022.0,0,No,1,2.0,G,Venda,239000,259750,xollo
249000,Poblenou-Zona Esportiva,135.0,3.0,2.0,1844.0,1,1,2000.0,1,No,1,7.0,G,Venda,249000,270525,xollo
190000,Poblenou-Zona Esportiva,90.0,4.0,2.0,2111.0,0,0,1998.0,1,No,1,1.0,E,Venda,190000,227462,xollo
186000,Poblenou-Zona Esportiva,107.0,2.0,2.0,1738.0,1,0,2001.0,0,No,1,2.0,G,Venda,186000,192063,xollo
205000,La Maurina,141.0,3.0,2.0,1454.0,1,1,2001.0,0,No,1,1.0,E,Venda,205000,270525,xollo
250890,Torre-sana,170.0,3.0,2.0,1476.0,1,1,2005.0,1,No,1,1.0,E,Venda,250890,270525,xollo
109200,Egara,81.0,3.0,1.0,1348.0,0,0,1970.0,0,No,0,3.0,F,Venda,109200,136656,xollo
79000,Pere parres,36.0,1.0,1.0,2194.0,0,0,1989.0,0,No,1,7.0,G,Venda,79000,131812,xollo
211000,Poblenou-Zona Esportiva,111.0,3.0,2.0,1901.0,1,0,1990.0,1,No,1,1.0,G,Venda,211000,227462,xollo
