Preu,Zona,Superficie,Habitacions,Lavabos,Preu metre,Calefaccio,Aire acondicionat,Any construccio,Aparcament,Piscina,Ascensor,Planta,Consum,Venda/lloguer,Preu anunci,Preu pred,Status
157000,Can Palet de Vista Alegre,81.0,2.0,1.0,1938.0,0,0,1978.0,1,No,0,1.0,F,Venda,157000,157664,xollo
120000,Can Roca,48.0,1.0,1.0,2500.0,1,0,2004.0,0,No,1,1.0,C,Venda,120000,131812,xollo
149000,Ca n�Aurell,104.0,4.0,2.0,1433.0,0,0,1975.0,1,No,1,6.0,E,Venda,149000,227462,xollo
120000,Egara,70.0,3.0,1.0,1714.0,0,0,1965.0,0,No,1,1.0,G,Venda,120000,131812,xollo
145000,Ca n�Anglada,104.0,4.0,1.0,1394.0,1,0,1974.0,0,No,0,1.0,E,Venda,145000,154078,xollo
336000,Centre,210.0,3.0,3.0,1600.0,1,1,1910.0,1,No,0,3.0,E,Venda,336000,427666,xollo
157000,Sant Pere Nord,77.0,2.0,1.0,2039.0,1,1,2008.0,1,No,1,2.0,F,Venda,157000,161000,xollo
59000,Montserrat,56.0,3.0,1.0,1054.0,0,0,1956.0,0,No,0,5.0,G,Venda,59000,103259,xollo
200900,Cementiri Vell,92.0,3.0,2.0,2184.0,1,0,1994.0,1,No,1,2.0,F,Venda,200900,227462,xollo
335000,Les Arenes-La Gr�pia,263.0,6.0,3.0,1274.0,1,0,1995.0,1,No,0,2.0,G,Venda,335000,427666,xollo
262500,Ca n�Aurell,82.0,3.0,2.0,3201.0,1,1,2022.0,1,No,1,1.0,G,Venda,262500,262636,xollo
248000,Ca n�Aurell,79.0,3.0,2.0,3139.0,1,1,2022.0,1,No,1,2.0,G,Venda,248000,262636,xollo
250000,Ca n�Aurell,79.0,3.0,2.0,3165.0,1,1,2022.0,1,No,1,3.0,G,Venda,250000,262636,xollo
250000,Ca n�Aurell,82.0,3.0,2.0,3049.0,1,1,2022.0,1,No,1,3.0,G,Venda,250000,262636,xollo
148000,Sant Pere Nord,92.0,3.0,1.0,1609.0,1,0,1965.0,0,No,1,3.0,G,Venda,148000,154078,xollo
152000,Ca n�Aurell,47.0,1.0,1.0,3234.0,1,1,2022.0,1,No,1,5.0,G,Venda,152000,161000,xollo
270000,Pere parres,120.0,4.0,2.0,2250.0,1,0,1990.0,1,No,1,6.0,G,Venda,270000,270525,xollo
149900,Ca n�Anglada,110.0,2.0,2.0,1363.0,1,0,2005.0,0,No,1,3.0,G,Venda,149900,192063,xollo
140000,Ca n�Aurell,45.0,1.0,1.0,3111.0,1,1,2022.0,1,No,1,1.0,G,Venda,140000,161000,xollo
194000,Can Roca,93.0,3.0,2.0,2086.0,1,1,2006.0,1,No,1,3.0,G,Venda,194000,227462,xollo
132900,Sant Pere Nord,82.0,4.0,1.0,1621.0,0,0,1970.0,0,No,0,1.0,G,Venda,132900,136656,xollo
183500,Can Roca,79.0,3.0,2.0,2323.0,1,1,1996.0,1,No,1,2.0,G,Venda,183500,227462,xollo
229000,Can Palet,250.0,3.0,1.0,916.0,1,0,1960.0,0,No,0,1.0,G,Venda,229000,270525,xollo
179000,Pere parres,90.0,4.0,2.0,1989.0,1,0,1979.0,0,No,1,1.0,G,Venda,179000,192063,xollo
140000,Can Palet,82.0,3.0,1.0,1707.0,1,0,1992.0,1,No,1,2.0,E,Venda,140000,157664,xollo
164900,Sant Pere Nord,105.0,3.0,2.0,1570.0,1,0,2002.0,0,No,1,3.0,G,Venda,164900,192063,xollo
99000,Can Palet,87.0,3.0,1.0,1138.0,0,0,1978.0,0,No,1,1.0,E,Venda,99000,136656,xollo
460000,Poblenou-Zona Esportiva,484.0,4.0,4.0,950.0,1,1,1998.0,1,Si,1,3.0,C,Venda,460000,471528,xollo
106000,Ca n�Anglada,53.0,2.0,1.0,2000.0,1,0,2008.0,0,No,1,2.0,E,Venda,106000,131812,xollo
148000,Can Boada,78.0,3.0,2.0,1897.0,1,0,2001.0,0,No,1,3.0,G,Venda,148000,192063,xollo
136200,Ca n�Aurell,60.0,3.0,1.0,2270.0,1,1,1991.0,1,No,0,3.0,E,Venda,136200,157664,xollo
178000,Can Palet,75.0,2.0,2.0,2373.0,1,1,2005.0,1,No,1,3.0,E,Venda,178000,227462,xollo
97000,Ca n�Anglada,82.0,3.0,1.0,1183.0,1,1,1971.0,0,No,0,1.0,G,Venda,97000,154078,xollo
136000,Cementiri Vell,94.0,3.0,1.0,1447.0,1,1,1970.0,0,No,1,1.0,E,Venda,136000,154078,xollo
580000,Centre,423.0,5.0,3.0,1371.0,1,0,1914.0,0,No,0,3.0,E,Venda,580000,639750,xollo
169000,Ca n�Anglada,120.0,3.0,2.0,1408.0,1,0,1979.0,0,No,0,1.0,G,Venda,169000,270525,xollo
169000,Sant Pere Nord,220.0,3.0,2.0,768.0,0,0,1974.0,1,No,0,2.0,G,Venda,169000,270525,xollo
194000,Can Roca,90.0,3.0,2.0,2156.0,1,1,2006.0,1,No,1,3.0,G,Venda,194000,227462,xollo
129000,Sant Pere,79.0,3.0,1.0,1633.0,1,1,1965.0,0,No,0,2.0,G,Venda,129000,154078,xollo
195000,Segle XX,75.0,3.0,2.0,2600.0,1,1,2003.0,1,No,0,2.0,E,Venda,195000,227462,xollo
130000,Can Palet,64.0,2.0,1.0,2031.0,1,1,2006.0,0,No,1,2.0,D,Venda,130000,131812,xollo
224900,Cementiri Vell,60.0,2.0,1.0,3748.0,1,1,2007.0,1,No,1,1.0,C,Venda,224900,226328,xollo
235000,Vallparad�s,139.0,4.0,2.0,1691.0,1,1,2000.0,0,No,1,4.0,E,Venda,235000,270525,xollo
93000,Montserrat,40.0,1.0,1.0,2325.0,1,0,2010.0,0,No,1,1.0,E,Venda,93000,131812,xollo
140000,Ca n�Aurell,45.0,1.0,1.0,3111.0,1,1,2022.0,1,No,1,1.0,G,Venda,140000,161000,xollo
215000,Poblenou-Zona Esportiva,70.0,2.0,2.0,3071.0,1,0,2022.0,1,No,1,4.0,G,Venda,215000,262636,xollo
118000,Can Boada,53.0,1.0,1.0,2226.0,1,0,2005.0,0,No,1,2.0,G,Venda,118000,131812,xollo
160000,Poblenou-Zona Esportiva,49.0,1.0,2.0,3265.0,1,0,2022.0,1,No,1,2.0,G,Venda,160000,168400,xollo
103000,Can Palet,64.0,3.0,1.0,1609.0,0,0,1971.0,0,No,0,3.0,E,Venda,103000,103259,xollo
142000,Segle XX,83.0,3.0,1.0,1711.0,1,0,1978.0,0,No,1,1.0,E,Venda,142000,154078,xollo
206000,Can Palet,148.0,4.0,2.0,1392.0,1,1,2002.0,0,No,1,3.0,E,Venda,206000,270525,xollo
147000,Can Jofresa,110.0,4.0,2.0,1336.0,0,0,1975.0,0,No,1,9.0,G,Venda,147000,166660,xollo
224900,Cementiri Vell,78.0,2.0,1.0,2883.0,1,0,2007.0,1,No,1,1.0,C,Venda,224900,226328,xollo
113000,Can Palet,66.0,3.0,1.0,1712.0,1,1,1980.0,1,No,1,3.0,G,Venda,113000,157664,xollo
262500,Ca n�Aurell,86.0,3.0,2.0,3052.0,1,1,2023.0,1,No,1,1.0,G,Venda,262500,262636,xollo
194000,Can Roca,90.0,3.0,2.0,2156.0,1,1,2006.0,1,No,1,3.0,D,Venda,194000,227462,xollo
265000,Vallparad�s,159.0,4.0,2.0,1667.0,1,0,1988.0,1,No,0,2.0,G,Venda,265000,270525,xollo
199900,Ca n�Aurell,126.0,4.0,1.0,1587.0,1,0,1964.0,0,No,1,3.0,G,Venda,199900,270525,xollo
269900,Vallparad�s,135.0,3.0,2.0,1999.0,1,1,2005.0,1,No,1,4.0,G,Venda,269900,270525,xollo
269900,Vallparad�s,135.0,3.0,2.0,1999.0,1,1,2005.0,1,No,1,4.0,G,Venda,269900,270525,xollo
193900,Ca n�Aurell,71.0,2.0,2.0,2731.0,1,1,2004.0,1,No,1,3.0,E,Venda,193900,227462,xollo
146000,Can Jofresa,95.0,4.0,2.0,1537.0,1,1,1975.0,0,No,1,5.0,E,Venda,146000,166660,xollo
112260,Ca n�Anglada,58.0,2.0,1.0,1936.0,1,0,2008.0,0,No,1,1.0,G,Venda,112260,131812,xollo
259000,Ca n�Aurell,122.0,4.0,2.0,2123.0,1,0,1969.0,1,No,1,2.0,G,Venda,259000,270525,xollo
59900,La Maurina,59.0,2.0,1.0,1015.0,0,0,1950.0,0,No,0,1.0,G,Venda,59900,103259,xollo
125000,Ca n�Aurell,46.0,1.0,1.0,2717.0,1,1,2006.0,0,No,1,1.0,G,Venda,125000,131812,xollo
180000,Segle XX,102.0,2.0,2.0,1765.0,1,0,2007.0,0,No,1,3.0,G,Venda,180000,192063,xollo
198000,Vallparad�s,97.0,3.0,2.0,2041.0,1,0,2002.0,1,No,1,2.0,E,Venda,198000,227462,xollo
145000,Ca n�Aurell,45.0,1.0,1.0,3222.0,1,1,2005.0,1,No,1,1.0,E,Venda,145000,157664,xollo
120000,Can Roca,48.0,1.0,1.0,2500.0,1,0,2004.0,0,No,1,1.0,C,Venda,120000,131812,xollo
116000,Can Palet,78.0,3.0,1.0,1487.0,1,0,1969.0,0,No,1,6.0,F,Venda,116000,154078,xollo
98000,Can Palet,78.0,3.0,1.0,1256.0,0,0,1967.0,0,No,1,3.0,E,Venda,98000,136656,xollo
184000,Sant Pere Nord,102.0,3.0,2.0,1804.0,0,0,1998.0,0,No,0,3.0,G,Venda,184000,192063,xollo
134000,Sant Pere,90.0,3.0,1.0,1489.0,0,0,1976.0,0,No,0,2.0,F,Venda,134000,136656,xollo
225000,Poblenou-Zona Esportiva,93.0,3.0,2.0,2419.0,1,1,2022.0,1,No,1,1.0,G,Venda,225000,262636,xollo
235000,Poblenou-Zona Esportiva,94.0,3.0,2.0,2500.0,1,1,2022.0,1,No,1,2.0,G,Venda,235000,262636,xollo
97500,Ca nﾴAnglada,99.0,3.0,1.0,985.0,0,0,1971.0,0,No,0,2.0,F,Venda,97500,136656,xollo
131500,Torre-sana,118.0,2.0,2.0,1114.0,1,1,2003.0,1,No,1,2.0,E,Venda,131500,183437,xollo
188900,Centre,80.0,3.0,2.0,2361.0,1,1,1992.0,0,No,1,1.0,G,Venda,188900,192063,xollo
120000,Can Roca,42.0,1.0,1.0,2857.0,1,0,2004.0,0,No,1,1.0,G,Venda,120000,131812,xollo
65700,Ca nﾴAnglada,64.0,3.0,1.0,1027.0,0,0,1968.0,0,No,0,4.0,G,Venda,65700,103259,xollo
75000,Sant Lloren�,64.0,2.0,1.0,1172.0,1,0,1960.0,0,No,0,2.0,G,Venda,75000,103259,xollo
186000,Poblenou-Zona Esportiva,109.0,2.0,2.0,1706.0,1,0,2001.0,0,No,1,2.0,E,Venda,186000,192063,xollo
248000,Ca n�Aurell,78.0,3.0,2.0,3179.0,1,1,2022.0,1,No,1,2.0,G,Venda,248000,262636,xollo
129800,Les Fonts,58.0,2.0,1.0,2238.0,1,1,2006.0,0,No,1,1.0,C,Venda,129800,131812,xollo
150000,Vallparad�s,94.0,4.0,1.0,1596.0,1,1,1970.0,0,No,1,4.0,E,Venda,150000,154078,xollo
130000,Poblenou-Zona Esportiva,42.0,1.0,1.0,3095.0,1,0,2022.0,1,No,1,2.0,G,Venda,130000,161000,xollo
145000,Ca n�Aurell,50.0,1.0,1.0,2900.0,1,1,2005.0,1,No,0,1.0,E,Venda,145000,157664,xollo
85000,Can Palet,98.0,4.0,2.0,867.0,1,0,1973.0,0,No,0,4.0,E,Venda,85000,166660,xollo
345000,Sant Pere,131.0,3.0,3.0,2634.0,1,0,2022.0,0,No,0,1.0,G,Venda,345000,369000,xollo
150000,Can Jofresa,110.0,4.0,2.0,1364.0,0,0,1975.0,0,No,1,9.0,G,Venda,150000,166660,xollo
196000,Can Boada,106.0,2.0,1.0,1849.0,1,1,1996.0,1,No,1,4.0,G,Venda,196000,212000,xollo
263000,Can Boada,118.0,3.0,2.0,2229.0,1,1,1995.0,1,No,1,1.0,G,Venda,263000,270525,xollo
225000,La Maurina,183.0,4.0,2.0,1230.0,0,1,1975.0,0,No,0,1.0,D,Venda,225000,270525,xollo
144000,Cementiri Vell,85.0,4.0,2.0,1694.0,1,0,1984.0,0,No,1,2.0,G,Venda,144000,192063,xollo
147000,Can Jofresa,96.0,4.0,2.0,1531.0,0,0,1975.0,0,No,1,9.0,E,Venda,147000,166660,xollo
120000,Can Roca,48.0,1.0,1.0,2500.0,1,0,2004.0,0,No,1,1.0,G,Venda,120000,131812,xollo
265000,Vallparad�s,137.0,4.0,2.0,1934.0,1,0,1988.0,0,No,1,2.0,E,Venda,265000,270525,xollo
136000,Cementiri Vell,94.0,3.0,1.0,1447.0,1,1,1970.0,0,No,1,1.0,E,Venda,136000,154078,xollo
135500,Can Palet,69.0,2.0,2.0,1964.0,1,0,2006.0,0,No,1,5.0,F,Venda,135500,192063,xollo
144000,Ca n�Anglada,100.0,4.0,2.0,1440.0,1,1,1977.0,0,No,0,1.0,E,Venda,144000,166660,xollo
149900,Pl� del Bonaire,82.0,3.0,1.0,1828.0,1,1,1963.0,1,No,0,1.0,G,Venda,149900,157664,xollo
224000,Les Arenes-La Gr�pia,94.0,3.0,2.0,2383.0,1,1,2004.0,1,No,1,1.0,G,Venda,224000,227462,xollo
147260,Ca n�Aurell,78.0,4.0,1.0,1888.0,1,0,1975.0,0,No,1,4.0,G,Venda,147260,154078,xollo
94500,Sant Pere Nord,38.0,1.0,1.0,2487.0,1,0,2008.0,0,No,1,1.0,D,Venda,94500,131812,xollo
79000,Montserrat,58.0,3.0,1.0,1362.0,0,0,1956.0,0,No,0,2.0,G,Venda,79000,103259,xollo
75000,Ca n�Anglada,63.0,3.0,1.0,1190.0,1,0,1973.0,0,No,0,3.0,G,Venda,75000,103259,xollo
137000,Les Arenes-La Gr�pia,92.0,3.0,1.0,1489.0,1,0,1960.0,0,No,1,12.0,F,Venda,137000,154078,xollo
155000,Sant Pere Nord,70.0,2.0,1.0,2214.0,1,0,2006.0,1,No,1,2.0,G,Venda,155000,157664,xollo
135960,Torre-sana,63.0,2.0,3.0,2158.0,0,0,2003.0,0,No,0,1.0,E,Venda,135960,192063,xollo
136000,Ca n�Aurell,108.0,4.0,1.0,1259.0,0,0,1973.0,0,No,1,1.0,G,Venda,136000,136656,xollo
80000,Egara,61.0,3.0,1.0,1311.0,0,0,1968.0,0,No,0,3.0,E,Venda,80000,103259,xollo
125000,Can Boada,84.0,4.0,1.0,1488.0,1,0,1974.0,0,No,1,2.0,G,Venda,125000,154078,xollo
148500,Can Boada,93.0,4.0,1.0,1597.0,1,0,1979.0,0,No,1,3.0,G,Venda,148500,154078,xollo
224900,Cementiri Vell,60.0,2.0,1.0,3748.0,1,0,2007.0,1,No,1,1.0,D,Venda,224900,226328,xollo
200000,Torre-sana,141.0,4.0,2.0,1418.0,1,0,2003.0,1,No,0,2.0,G,Venda,200000,270525,xollo
330000,Sant Pere Nord,190.0,3.0,3.0,1737.0,1,1,2020.0,1,No,1,3.0,G,Venda,330000,350862,xollo
175000,Can Palet,94.0,3.0,2.0,1862.0,0,0,2000.0,0,No,1,2.0,G,Venda,175000,192063,xollo
174000,Ca nﾴAnglada,136.0,5.0,2.0,1279.0,0,0,1970.0,0,No,0,2.0,G,Venda,174000,270525,xollo
120000,Can Roca,48.0,1.0,1.0,2500.0,1,0,2004.0,0,No,1,1.0,G,Venda,120000,131812,xollo
180000,Sant Pere Nord,94.0,3.0,2.0,1915.0,1,0,1996.0,0,No,1,2.0,E,Venda,180000,192063,xollo
149000,Segle XX,100.0,4.0,2.0,1490.0,0,0,1980.0,0,No,1,3.0,E,Venda,149000,192063,xollo
149000,Les Arenes-La Gr�pia,88.0,3.0,1.0,1693.0,1,0,1975.0,0,No,0,1.0,G,Venda,149000,154078,xollo
186000,Poblenou-Zona Esportiva,85.0,2.0,2.0,2188.0,1,0,2001.0,0,No,1,2.0,E,Venda,186000,192063,xollo
118000,Can Boada,53.0,1.0,1.0,2226.0,1,0,2005.0,0,No,1,2.0,G,Venda,118000,131812,xollo
188500,Poblenou-Zona Esportiva,95.0,3.0,2.0,1984.0,1,1,2002.0,1,No,1,1.0,D,Venda,188500,227462,xollo
115000,Egara,81.0,3.0,1.0,1420.0,0,0,1953.0,0,No,0,1.0,G,Venda,115000,136656,xollo
69000,Sant Lloren�,61.0,2.0,1.0,1131.0,0,0,1960.0,0,No,0,4.0,G,Venda,69000,103259,xollo
99000,La Maurina,72.0,3.0,1.0,1375.0,1,0,1979.0,0,No,0,4.0,E,Venda,99000,103259,xollo
100500,Sant Pere Nord,39.0,1.0,1.0,2577.0,1,0,2008.0,0,No,1,2.0,C,Venda,100500,131812,xollo
199900,Ca n�Aurell,126.0,4.0,1.0,1587.0,1,0,1964.0,0,No,1,3.0,G,Venda,199900,270525,xollo
126000,Can Palet,77.0,3.0,1.0,1636.0,0,0,1967.0,0,No,1,2.0,E,Venda,126000,131812,xollo
87000,Egara,79.0,3.0,1.0,1101.0,1,0,1970.0,0,No,0,3.0,F,Venda,87000,154078,xollo
149000,Les Arenes-La Gr�pia,80.0,2.0,1.0,1863.0,1,0,2008.0,0,No,1,2.0,C,Venda,149000,154078,xollo
99000,Ca nﾴAnglada,71.0,3.0,1.0,1394.0,0,0,1973.0,0,No,0,2.0,G,Venda,99000,103259,xollo
250000,Ca n�Aurell,118.0,3.0,2.0,2119.0,1,1,1952.0,0,No,0,2.0,G,Venda,250000,270525,xollo
174000,Sant Pere Nord,94.0,3.0,2.0,1851.0,1,0,1996.0,0,No,1,2.0,E,Venda,174000,192063,xollo
224900,Cementiri Vell,60.0,2.0,1.0,3748.0,1,1,2007.0,1,No,1,1.0,C,Venda,224900,226328,xollo
279000,Poblenou-Zona Esportiva,120.0,2.0,2.0,2325.0,0,1,2000.0,1,No,1,7.0,G,Venda,279000,282000,xollo
141000,Ca nﾴAnglada,128.0,2.0,2.0,1102.0,0,0,2008.0,0,No,0,3.0,E,Venda,141000,183437,xollo
93000,Torre-sana,44.0,1.0,1.0,2114.0,0,0,2010.0,0,No,1,1.0,E,Venda,93000,131812,xollo
180000,Ca n�Anglada,108.0,3.0,2.0,1667.0,1,1,1994.0,0,No,0,2.0,G,Venda,180000,192063,xollo
69000,Ca nﾴAnglada,74.0,3.0,1.0,932.0,0,0,1956.0,0,No,0,1.0,G,Venda,69000,103259,xollo
181000,Poblenou-Zona Esportiva,77.0,2.0,2.0,2351.0,1,0,2002.0,1,No,1,1.0,E,Venda,181000,227462,xollo
189900,Centre,80.0,3.0,2.0,2374.0,1,1,1995.0,0,No,1,1.0,E,Venda,189900,192063,xollo
66000,Ca n�Anglada,45.0,1.0,1.0,1467.0,0,0,2011.0,0,No,1,1.0,G,Venda,66000,131812,xollo
160000,Can Jofresa,110.0,4.0,2.0,1455.0,1,1,1977.0,0,No,1,7.0,C,Venda,160000,166660,xollo
259900,Segle XX,116.0,3.0,2.0,2241.0,1,1,1956.0,0,No,0,2.0,G,Venda,259900,270525,xollo
125000,Les Fonts,58.0,2.0,1.0,2155.0,1,1,2005.0,1,No,0,1.0,G,Venda,125000,157664,xollo
110000,Can Boada,89.0,3.0,1.0,1236.0,0,0,1976.0,0,No,1,7.0,E,Venda,110000,136656,xollo
120000,Sant Pere Nord,85.0,3.0,1.0,1412.0,0,0,1970.0,0,No,0,4.0,A,Venda,120000,136656,xollo
130000,Pere parres,84.0,3.0,1.0,1548.0,1,0,1976.0,0,No,0,2.0,D,Venda,130000,154078,xollo
142000,Roc Blanc,52.0,1.0,1.0,2731.0,1,1,2006.0,1,No,1,1.0,E,Venda,142000,157664,xollo
135500,Ca nﾴAurell,130.0,2.0,1.0,1042.0,0,0,1950.0,0,No,0,1.0,A,Venda,135500,183437,xollo
84000,Can Palet,73.0,2.0,1.0,1151.0,1,1,1973.0,0,No,0,4.0,G,Venda,84000,103259,xollo
128000,Ca n�Aurell,73.0,3.0,1.0,1753.0,1,1,1978.0,0,No,1,5.0,G,Venda,128000,131812,xollo
